Timestamp (ms),F_RPM_PRIM,F_GPS_SPEED
36721,0.0,0.93
36732,0.0,0.9031707317073171
36742,0.0,0.878780487804878
36752,0.0,0.8543902439024391
36762,0.0,0.8300000000000001
36772,0.0,0.805609756097561
36784,0.0,0.7763414634146342
36794,0.0,0.7519512195121951
36804,0.0,0.7275609756097561
36814,0.0,0.703170731707317
36824,0.0,0.678780487804878
36836,0.0,0.6495121951219512
36846,0.0,0.6262962962962964
36856,0.0,0.6077777777777778
36866,0.0,0.5892592592592593
36876,0.0,0.5707407407407408
36890,0.0,0.5448148148148149
36900,0.0,0.5262962962962963
36910,0.0,0.5077777777777778
36920,0.0,0.4892592592592593
36930,0.0,0.47563106796116505
36943,0.0,0.46427184466019417
36953,0.0,0.45553398058252426
36963,0.0,0.44679611650485435
36973,0.0,0.43805825242718444
36983,0.0,0.4293203883495146
36996,0.0,0.4179611650485437
37006,0.0,0.4092233009708738
37016,0.0,0.4004854368932039
37028,0.0,0.39
37038,0.0,0.384
37051,0.0,0.37620000000000003
37061,0.0,0.37020000000000003
37071,0.0,0.3642
37081,0.0,0.3582
37091,0.0,0.3522
37101,0.0,0.3462
37111,0.0,0.3402
37121,0.0,0.3342
37131,0.0,0.32884615384615384
37141,0.0,0.325
37151,0.0,0.3211538461538462
37161,0.0,0.3173076923076923
37171,0.0,0.31346153846153846
37181,0.0,0.3096153846153846
37191,0.0,0.3057692307692308
37201,0.0,0.3019230769230769
37211,0.0,0.2980769230769231
37225,0.0,0.2926923076923077
37235,0.0,0.2891743119266055
37245,0.0,0.28642201834862385
37255,0.0,0.2836697247706422
37265,0.0,0.28091743119266055
37277,0.0,0.27761467889908253
37287,0.0,0.2748623853211009
37297,0.0,0.2721100917431193
37308,0.0,0.26908256880733944
37318,0.0,0.2663302752293578
37328,0.0,0.26357798165137614
37341,0.0,0.26
37351,0.0,0.25696969696969696
37364,0.0,0.25303030303030305
37374,0.0,0.25
37384,0.0,0.24696969696969698
37394,0.0,0.24393939393939396
37404,0.0,0.2409090909090909
37414,0.0,0.23787878787878788
37424,0.0,0.23484848484848486
37434,0.0,0.2318181818181818
37444,0.0,0.22924528301886793
37454,0.0,0.22735849056603774
37464,0.0,0.22547169811320755
37474,0.0,0.22358490566037736
37484,0.0,0.22169811320754718
