Timestamp (ms),F_RPM_PRIM,F_GPS_SPEED
37589,0.0,0.13
37601,0.0,0.12725190839694656
37611,0.0,0.1249618320610687
37621,0.0,0.12267175572519085
37631,0.0,0.12038167938931298
37641,0.0,0.11809160305343512
37651,0.0,0.11580152671755725
37661,0.0,0.1135114503816794
37671,0.0,0.11122137404580153
37681,0.0,0.10893129770992367
37693,0.0,0.10618320610687024
37708,0.0,0.10274809160305344
37708,0.0,0.10274809160305344
37720,0.0,0.1
37730,0.0,0.09873417721518987
37744,0.0,0.0969620253164557
37754,0.0,0.09569620253164557
37764,0.0,0.09443037974683545
37764,0.0,0.09443037974683545
37776,0.0,0.09291139240506328
37786,0.0,0.09164556962025316
37799,0.0,0.09
37809,0.0,0.09
37822,0.0,0.09
37832,0.0,0.09
37842,0.0,0.09
37853,0.0,0.09
37863,0.0,0.09
37873,0.0,0.09
37884,0.0,0.09
37894,0.0,0.09
37904,0.0,0.08961538461538461
37914,0.0,0.08865384615384615
37924,0.0,0.0876923076923077
37934,0.0,0.08673076923076922
37945,0.0,0.08567307692307692
37955,0.0,0.08471153846153846
37965,0.0,0.08375
37975,0.0,0.08278846153846153
37985,0.0,0.08182692307692307
37999,0.0,0.08048076923076923
38009,0.0,0.07952830188679245
38019,0.0,0.07858490566037736
38037,0.0,0.07688679245283019
38047,0.0,0.0759433962264151
38057,0.0,0.07500000000000001
38067,0.0,0.07405660377358492
38081,0.0,0.07273584905660378
38091,0.0,0.07179245283018869
38101,0.0,0.0708490566037736
38116,0.0,0.07
38126,0.0,0.07
38126,0.0,0.07
38141,0.0,0.07
38151,0.0,0.07
38161,0.0,0.07
38171,0.0,0.07
38181,0.0,0.07
38181,0.0,0.07
38192,0.0,0.07
38202,0.0,0.07
38215,0.0,0.07
38225,0.0,0.069
38238,0.0,0.06770000000000001
38248,0.0,0.06670000000000001
38258,0.0,0.06570000000000001
38268,0.0,0.06470000000000001
38278,0.0,0.0637
38288,0.0,0.0627
38298,0.0,0.0617
38308,0.0,0.0607
38318,0.0,0.06
38328,0.0,0.06
38338,0.0,0.06
38359,0.0,0.06
38369,0.0,0.06
38379,0.0,0.06
38389,0.0,0.06
38399,0.0,0.06
38413,0.0,0.06
38423,0.0,0.06
38433,0.0,0.06
38443,0.0,0.06
38453,0.0,0.06
38465,0.0,0.06
38475,0.0,0.06
38485,0.0,0.06
38495,0.0,0.06
38505,0.0,0.06
38515,0.0,0.06
38525,0.0,0.06
38535,0.0,0.059019607843137256
38545,0.0,0.05803921568627451
38558,0.0,0.05676470588235294
38569,0.0,0.05568627450980392
38569,0.0,0.05568627450980392
38585,0.0,0.05411764705882353
38595,0.0,0.053137254901960786
38610,0.0,0.051666666666666666
38620,0.0,0.050686274509803925
38630,0.0,0.05
38641,0.0,0.05
38651,0.0,0.05
38661,0.0,0.05
38671,0.0,0.05
38681,0.0,0.05
38702,0.0,0.05
38712,0.0,0.05
38722,0.0,0.05
38733,0.0,0.05
38748,0.0,0.05
38763,0.0,0.05
38773,0.0,0.05
38783,0.0,0.05
38793,0.0,0.05
38803,0.0,0.05
38813,0.0,0.05
38823,0.0,0.05
38833,0.0,0.05
38843,0.0,0.05
38853,0.0,0.05
38863,0.0,0.05
38873,0.0,0.05
38884,0.0,0.05
38894,0.0,0.05
38904,0.0,0.05
38914,0.0,0.05
38924,0.0,0.05
38934,0.0,0.05
38944,0.0,0.05
38954,0.0,0.05
38964,0.0,0.05
38974,0.0,0.05
38984,0.0,0.05
38994,0.0,0.05
39005,0.0,0.05
39020,0.0,0.05
39036,0.0,0.05
39046,0.0,0.049090909090909095
39060,0.0,0.04781818181818182
39070,0.0,0.046909090909090914
39080,0.0,0.046
39090,0.0,0.04509090909090909
39100,0.0,0.04418181818181818
39113,0.0,0.043000000000000003
39123,0.0,0.042090909090909095
39133,0.0,0.04118181818181818
39146,0.0,0.04
39156,0.0,0.040943396226415095
39169,0.0,0.042169811320754716
39179,0.0,0.04311320754716981
39189,0.0,0.044056603773584904
39199,0.0,0.045
39209,0.0,0.0459433962264151
39222,0.0,0.04716981132075472
39232,0.0,0.048113207547169815
39242,0.0,0.04905660377358491
39252,0.0,0.05
39262,0.0,0.05
39274,0.0,0.05
39284,0.0,0.05
39294,0.0,0.05
39305,0.0,0.05
39315,0.0,0.05
39325,0.0,0.05
39337,0.0,0.05
39347,0.0,0.05
39357,0.0,0.05
39368,0.0,0.05
39378,0.0,0.05
39388,0.0,0.05
39399,0.0,0.05
39409,0.0,0.05
39419,0.0,0.05
39429,0.0,0.05
39439,0.0,0.05
39449,0.0,0.05
39461,0.0,0.05
39471,0.0,0.05
39484,0.0,0.05
39494,0.0,0.05
39504,0.0,0.05
39514,0.0,0.05
39524,0.0,0.05
39536,0.0,0.05
39546,0.0,0.05
39556,0.0,0.05
39567,0.0,0.05
39577,0.0,0.05
39590,0.0,0.05
39600,0.0,0.05
39610,0.0,0.05
39620,0.0,0.05
39630,0.0,0.05
39640,0.0,0.05
39651,0.0,0.05
39661,0.0,0.05
39671,0.0,0.05
39681,0.0,0.05
39691,0.0,0.05
39701,0.0,0.05
39712,0.0,0.05
39722,0.0,0.05
39736,0.0,0.05
39750,0.0,0.05
39765,0.0,0.05
39775,0.0,0.05
39785,0.0,0.05
39797,0.0,0.05
39807,0.0,0.05
39822,0.0,0.05
39832,0.0,0.05
39842,0.0,0.05
39853,0.0,0.05
39863,0.0,0.05
39873,0.0,0.05
39883,0.0,0.05
39893,0.0,0.05
39903,0.0,0.05
39914,0.0,0.05
39924,0.0,0.05
39938,0.0,0.05
39948,0.0,0.05
39958,0.0,0.05
39968,0.0,0.05
39978,0.0,0.05
39988,0.0,0.05
39988,0.0,0.05
40000,0.0,0.05
40010,0.0,0.05
40026,0.0,0.05
40036,0.0,0.05
40048,0.0,0.05
40058,0.0,0.05
40068,0.0,0.05
40078,0.0,0.05
40088,0.0,0.05
40098,0.0,0.05
40108,0.0,0.05
40118,0.0,0.05
40131,0.0,0.05
40141,0.0,0.05
40151,0.0,0.05
40161,0.0,0.05
40171,0.0,0.05
40184,0.0,0.05
40194,0.0,0.05
40204,0.0,0.05
40216,0.0,0.05
40226,0.0,0.05
40236,0.0,0.05
40247,0.0,0.05
40257,0.0,0.05
40267,0.0,0.05
40279,0.0,0.05
40289,0.0,0.05
40302,0.0,0.05
40312,0.0,0.05
40322,0.0,0.05
40332,0.0,0.05
40342,0.0,0.05
40355,0.0,0.05
40365,0.0,0.05
40375,0.0,0.05
40391,0.0,0.05
40401,0.0,0.05
40414,0.0,0.05
40424,0.0,0.05
40435,0.0,0.05
40445,0.0,0.05
40455,0.0,0.05
40455,0.0,0.05
40465,0.0,0.05
40475,0.0,0.05
40489,0.0,0.05
40499,0.0,0.05
40509,0.0,0.05
40520,0.0,0.05
40530,0.0,0.05
40544,0.0,0.05
40554,0.0,0.05
40564,0.0,0.05
40574,0.0,0.05
40584,0.0,0.05
40598,0.0,0.04
40608,0.0,0.04
40618,0.0,0.04
40630,0.0,0.04
40640,0.0,0.04
40650,0.0,0.04
40662,0.0,0.04
40672,0.0,0.04
40682,0.0,0.04
40692,0.0,0.04
40702,0.0,0.04101010101010101
40712,0.0,0.04202020202020202
40723,0.0,0.04313131313131313
40733,0.0,0.04414141414141414
40743,0.0,0.04515151515151515
40753,0.0,0.04616161616161616
40763,0.0,0.04717171717171717
40773,0.0,0.04818181818181819
40784,0.0,0.04929292929292929
40799,0.0,0.05
40814,0.0,0.05
40824,0.0,0.05
40834,0.0,0.05
40844,0.0,0.05
40854,0.0,0.05
40864,0.0,0.05
40875,0.0,0.05
40885,0.0,0.05
40898,0.0,0.05
40908,0.0,0.05
40918,0.0,0.05
40928,0.0,0.05
40938,0.0,0.05
40951,0.0,0.05
40961,0.0,0.05
40971,0.0,0.05
40982,0.0,0.05
40992,0.0,0.05
41002,0.0,0.05
41014,0.0,0.05
41024,0.0,0.05
41034,0.0,0.05
41044,0.0,0.05
41054,0.0,0.05
41067,0.0,0.05
41077,0.0,0.05
41087,0.0,0.05
41097,0.0,0.05
41107,0.0,0.05
41117,0.0,0.05
41127,0.0,0.05
41137,0.0,0.05
41147,0.0,0.05
41157,0.0,0.05
41167,0.0,0.05
41177,0.0,0.05
41187,0.0,0.05
41203,0.0,0.05
41218,0.0,0.05
41228,0.0,0.05
41238,0.0,0.05
41248,0.0,0.05
41258,0.0,0.05
41268,0.0,0.05
41278,0.0,0.05
41288,0.0,0.05
41309,0.0,0.05
41324,0.0,0.05
41339,0.0,0.05
41349,0.0,0.05
41359,0.0,0.05
41369,0.0,0.05
41379,0.0,0.05
41399,0.0,0.05
41409,0.0,0.05
