Timestamp (ms),F_RPM_PRIM,F_GPS_SPEED
8185,0.0,0.06
8198,0.0,0.059071428571428566
8208,0.0,0.05835714285714286
8222,0.0,0.05735714285714286
8236,0.0,0.056357142857142856
8251,0.0,0.055285714285714285
8261,0.0,0.05457142857142857
8271,0.0,0.05385714285714286
8281,0.0,0.053142857142857144
8293,0.0,0.05228571428571429
8308,0.0,0.05121428571428571
8318,0.0,0.0505
8331,0.0,0.05
8341,0.0,0.05
8351,0.0,0.05
8362,0.0,0.05
8372,0.0,0.05
8385,0.0,0.05
8395,0.0,0.049
8405,0.0,0.048
8415,0.0,0.047
8425,0.0,0.046
8438,0.0,0.044700000000000004
8448,0.0,0.0437
8458,0.0,0.0427
8470,0.0,0.0415
8480,0.0,0.0405
8490,0.0,0.04047169811320755
8501,0.0,0.041509433962264156
8511,0.0,0.04245283018867925
8521,0.0,0.043396226415094344
8532,0.0,0.044433962264150945
8542,0.0,0.04537735849056604
8552,0.0,0.04632075471698113
8562,0.0,0.04726415094339623
8572,0.0,0.04820754716981132
8582,0.0,0.049150943396226415
8592,0.0,0.05
8602,0.0,0.05
8614,0.0,0.05
8624,0.0,0.05
8634,0.0,0.05
8644,0.0,0.05
8654,0.0,0.05
8664,0.0,0.05
8674,0.0,0.05
8684,0.0,0.05
8694,0.0,0.05
8704,0.0,0.05
8714,0.0,0.05
8724,0.0,0.05
8734,0.0,0.05
8744,0.0,0.05
8764,0.0,0.05
8774,0.0,0.05
8784,0.0,0.05
8794,0.0,0.05
8804,0.0,0.05
8814,0.0,0.05
8824,0.0,0.05
8839,0.0,0.05
8855,0.0,0.05
8865,0.0,0.05
8875,0.0,0.05
8885,0.0,0.05
8895,0.0,0.0502
8905,0.0,0.0512
8916,0.0,0.0523
8926,0.0,0.0533
8936,0.0,0.0543
8946,0.0,0.0553
8956,0.0,0.0563
8966,0.0,0.0573
8976,0.0,0.0583
8986,0.0,0.0593
8996,0.0,0.06
9006,0.0,0.06
9016,0.0,0.06
9026,0.0,0.06
9036,0.0,0.06
9046,0.0,0.06
9056,0.0,0.06
9067,0.0,0.06
9077,0.0,0.06
9087,0.0,0.06
9097,0.0,0.06
9107,0.0,0.06
9121,0.0,0.06
9131,0.0,0.06
9141,0.0,0.06
9151,0.0,0.06
9161,0.0,0.06
9173,0.0,0.06
9183,0.0,0.06
9193,0.0,0.06
9203,0.0,0.06
9213,0.0,0.06
9227,0.0,0.06
9237,0.0,0.06
9247,0.0,0.06
9257,0.0,0.06
9267,0.0,0.06
9277,0.0,0.06
9288,0.0,0.06
9298,0.0,0.06
9308,0.0,0.06
9319,0.0,0.06
9329,0.0,0.06
9339,0.0,0.06
9349,0.0,0.06
9359,0.0,0.06
9369,0.0,0.06
9380,0.0,0.06
9390,0.0,0.06
9400,0.0,0.06
9411,0.0,0.06
9421,0.0,0.06
9434,0.0,0.06
9444,0.0,0.06
9454,0.0,0.06
9464,0.0,0.06
9474,0.0,0.06
9486,0.0,0.06
9496,0.0,0.06
9506,0.0,0.06
9517,0.0,0.06
9527,0.0,0.06
9540,0.0,0.06
9550,0.0,0.06
9560,0.0,0.06
9571,0.0,0.06
9581,0.0,0.06
9591,0.0,0.06
9601,0.0,0.06
9611,0.0,0.06
9624,0.0,0.06
9634,0.0,0.06
9644,0.0,0.06
9654,0.0,0.06
9664,0.0,0.06
9677,0.0,0.06
9687,0.0,0.06
9697,0.0,0.06
9707,0.0,0.06
9717,0.0,0.06
9731,0.0,0.06
9741,0.0,0.06
9756,0.0,0.06
9766,0.0,0.06
9776,0.0,0.06
9786,0.0,0.06
9796,0.0,0.06
9810,0.0,0.06
9820,0.0,0.06
9830,0.0,0.06
9842,0.0,0.06
9852,0.0,0.06
9862,0.0,0.06
9874,0.0,0.06
9884,0.0,0.06
9898,0.0,0.06
9908,0.0,0.06
9918,0.0,0.0601
9928,0.0,0.0611
9938,0.0,0.0621
9950,0.0,0.0633
9960,0.0,0.0643
9970,0.0,0.0653
9980,0.0,0.0663
9990,0.0,0.0673
10000,0.0,0.0683
10010,0.0,0.0693
10020,0.0,0.06972222222222223
10030,0.0,0.0687962962962963
10040,0.0,0.06787037037037037
10050,0.0,0.06694444444444445
10062,0.0,0.06583333333333334
10072,0.0,0.06490740740740741
10082,0.0,0.06398148148148149
10093,0.0,0.06296296296296297
10103,0.0,0.062037037037037036
10113,0.0,0.06111111111111111
10125,0.0,0.06
10135,0.0,0.061
10145,0.0,0.062
10165,0.0,0.064
10175,0.0,0.065
10185,0.0,0.066
10195,0.0,0.067
10205,0.0,0.068
10216,0.0,0.06910000000000001
10226,0.0,0.0699
10236,0.0,0.0689
10247,0.0,0.0678
10257,0.0,0.0668
10267,0.0,0.0658
10277,0.0,0.0648
10287,0.0,0.0638
10297,0.0,0.0628
10307,0.0,0.0618
10317,0.0,0.0608
10331,0.0,0.06
10341,0.0,0.06
10351,0.0,0.06
10361,0.0,0.06
10371,0.0,0.06
10384,0.0,0.06
10394,0.0,0.06
10404,0.0,0.06
10414,0.0,0.06
10424,0.0,0.06
10434,0.0,0.06
10444,0.0,0.06
10458,0.0,0.06
10473,0.0,0.06
10483,0.0,0.06
10493,0.0,0.06
10503,0.0,0.06
10514,0.0,0.06
10529,0.0,0.06
10539,0.0,0.06
10549,0.0,0.06
10559,0.0,0.06
10569,0.0,0.06
10586,0.0,0.06
10596,0.0,0.06
10609,0.0,0.06
10619,0.0,0.06
10629,0.0,0.06
10640,0.0,0.06
10650,0.0,0.06
10660,0.0,0.06
10670,0.0,0.06
10680,0.0,0.06
10694,0.0,0.06
10704,0.0,0.06
10717,0.0,0.06
10727,0.0,0.06
10737,0.0,0.06
10747,0.0,0.06
10757,0.0,0.06
10767,0.0,0.06
10777,0.0,0.06
10787,0.0,0.06
10797,0.0,0.06
10807,0.0,0.06
10817,0.0,0.06
