Timestamp (ms),F_RPM_SEC
9,2060.1565
19,1923.8168
29,1966.1816
39,1977.0663
50,1980.1981
61,1966.1816
71,1966.9551
80,2026.7533
91,2016.129
101,1968.5039
111,2015.3163
121,2014.5044
132,2015.3163
142,2016.129
151,2072.1094
161,2016.9423
172,2017.7562
181,2065.2622
191,2065.2622
201,2015.3163
210,2118.6438
221,2023.4723
230,2066.97
240,2126.7546
249,2075.55
260,2072.1094
269,2063.5576
279,2117.7466
288,2128.5654
299,2070.3933
308,2117.7466
317,2124.947
327,2128.5654
336,2121.3406
346,2119.5422
355,2174.8586
365,2117.7466
374,2117.7466
384,2171.081
393,2182.453
403,2119.5422
412,2174.8586
421,2172.9683
431,2174.8586
440,2171.081
449,2175.805
458,2172.9683
467,2186.2703
478,2173.9128
486,2233.14
496,2172.9683
504,2233.14
515,2171.081
523,2235.1362
532,2241.1475
541,2231.1467
550,2180.5496
560,2289.3772
569,2231.1467
578,2234.1375
587,2231.1467
595,2235.1362
605,2245.173
614,2231.1467
623,2294.6304
632,2233.14
641,2290.426
650,2233.14
659,2303.0862
668,2234.1375
676,2294.6304
686,2294.6304
695,2292.5264
703,2294.6304
712,2292.5264
721,2294.6304
730,2294.6304
739,2292.5264
747,2292.5264
756,2356.2676
765,2294.6304
774,2294.6304
783,2359.6035
791,2305.2097
800,2290.426
808,2361.8328
818,2361.8328
826,2294.6304
835,2359.6035
843,2358.4905
852,2359.6035
861,2359.6035
869,2358.4905
878,2359.6035
886,2360.7175
896,2357.3787
904,2369.6682
912,2359.6035
921,2429.543
929,2361.8328
937,2358.4905
947,2424.83
955,2376.4258
963,2428.363
971,2360.7175
980,2427.1843
989,2426.0066
997,2360.7175
1005,2428.363
1014,2427.1843
1022,2436.647
1031,2430.7244
1039,2429.543
1047,2428.363
1055,2429.543
1064,2426.0066
1073,2443.7927
1081,2436.647
1089,2422.481
1097,2437.8352
1105,2449.7795
1114,2501.2505
1122,2430.7244
1130,2500.0
1139,2428.363
1146,2501.2505
1156,2368.5457
1164,2582.6445
1172,2506.2654
1180,2437.8352
1188,2511.301
1197,2501.2505
1205,2428.363
1213,2501.2505
1221,2508.7805
1229,2496.2559
1236,2502.5022
1245,2511.301
1253,2502.5022
1261,2511.301
1269,2512.5627
1277,2498.7502
1286,2578.6487
1294,2506.2654
1302,2502.5022
1309,2574.6653
1317,2501.2505
1326,2498.7502
1334,2578.6487
1342,2498.7502
1350,2578.6487
1357,2577.3196
1366,2503.7556
1374,2578.6487
1382,2498.7502
1390,2575.992
1397,2593.361
1405,2573.34
1414,2574.6653
1422,2500.0
1429,2578.6487
1437,2600.104
1445,2573.34
1453,2581.3113
1461,2579.9795
1469,2577.3196
1477,2579.9795
1484,2578.6487
1492,2581.3113
1501,2593.361
1508,2578.6487
1516,2581.3113
1523,2679.5283
1531,2582.6445
1540,2578.6487
1547,2659.5745
1555,2581.3113
1563,2577.3196
1570,2678.0933
1579,2578.6487
1587,2575.992
1594,2662.407
1601,2660.9897
1609,2574.6653
1617,2659.5745
1625,2574.6653
1633,2662.407
1640,2660.9897
1648,2656.748
1656,2581.3113
1664,2665.245
1671,2662.407
1679,2589.332
1687,2665.245
1694,2663.8254
1702,2665.245
1710,2658.1606
1717,2665.245
1725,2587.9915
1732,2742.7317
1740,2652.5198
1748,2578.6487
1756,2751.7888
1763,2662.407
1771,2663.8254
1778,2662.407
1786,2675.2273
1794,2665.245
1802,2665.245
1809,2663.8254
1816,2750.2751
1824,2660.9897
1831,2660.9897
1840,2660.9897
1847,2748.763
1854,2660.9897
1862,2659.5745
1869,2750.2751
1878,2660.9897
1885,2748.763
1892,2660.9897
1900,2748.763
1907,2662.407
1914,2742.7317
1923,2665.245
1930,2751.7888
1937,2663.8254
1945,2748.763
1952,2679.5283
1959,2751.7888
1968,2665.245
1975,2751.7888
1982,2727.7688
1990,2754.821
1997,2660.9897
2004,2748.763
2012,2770.083
2020,2747.253
2027,2660.9897
2034,2748.763
2042,2748.763
2050,2751.7888
2057,2750.2751
2064,2748.763
2072,2748.763
2079,2748.763
2086,2748.763
2094,2751.7888
2101,2750.2751
2109,2762.431
2116,2751.7888
2123,2753.304
2131,2655.3372
2139,2787.068
2146,2791.7363
2153,2816.9014
2160,2741.2283
2167,2842.5242
2174,2767.0168
2183,2744.237
2190,2745.7441
2197,2840.909
2204,2748.763
2211,2751.7888
2220,2748.763
2227,2840.909
2234,2840.909
2241,2750.2751
2248,2748.763
2255,2842.5242
2263,2754.821
2270,2839.296
2278,2748.763
2285,2842.5242
2292,2751.7888
2299,2844.1414
2307,2748.763
2314,2842.5242
2321,2842.5242
2328,2748.763
2335,2839.296
2342,2845.7598
2351,2748.763
2358,2839.296
2365,2852.2532
2372,2750.2751
2379,2842.5242
2386,2858.7764
2394,2845.7598
2401,2767.0168
2408,2845.7598
2415,2842.5242
2422,2845.7598
2429,2842.5242
2437,2767.0168
2444,2845.7598
2451,2845.7598
2458,2842.5242
2465,2842.5242
2472,2842.5242
2480,2842.5242
2487,2842.5242
2494,2842.5242
2501,2842.5242
2508,2842.5242
2515,2941.1765
2523,2845.7598
2530,2842.5242
2537,2842.5242
2544,2842.5242
2551,2842.5242
2558,2839.296
2566,2941.1765
2573,2842.5242
2580,2839.296
2587,2837.6843
2593,2946.376
2600,2845.7598
2608,2865.3293
2615,2815.3154
2622,3008.4236
2629,2818.4893
2636,2925.6875
2643,2858.7764
2651,2842.5242
2658,2941.1765
2665,2845.7598
2672,2844.1414
2678,2946.376
2685,2845.7598
2693,2839.296
2700,2946.376
2707,2942.9075
2714,2842.5242
2721,2839.296
2728,2963.841
2736,2847.3806
2742,2942.9075
2749,2944.6406
2756,2845.7598
2763,2942.9075
2770,2847.3806
2778,2942.9075
2785,2845.7598
2791,2942.9075
2798,2942.9075
2805,2842.5242
2812,2939.4473
2820,2948.1133
2827,2941.1765
2834,2855.511
2840,2942.9075
2847,2942.9075
2854,2960.3313
2862,2844.1414
2869,2942.9075
2875,2946.376
2882,2946.376
2889,2845.7598
2896,2946.376
2904,2942.9075
2910,2942.9075
2917,2942.9075
2924,2946.376
2931,2939.4473
2937,2923.9766
2945,2918.8557
2952,3041.3625
2959,2932.5515
2965,2942.9075
2972,2942.9075
2979,2942.9075
2987,2942.9075
2994,2942.9075
3000,2946.376
3007,2942.9075
3014,2942.9075
3021,2942.9075
3027,2946.376
3035,2939.4473
3042,2944.6406
3048,3054.368
3055,2962.0852
3062,2946.376
3069,2946.376
3076,2942.9075
3083,2942.9075
3090,2956.8303
3097,2939.4473
3103,3052.503
3110,2942.9075
3118,2942.9075
3124,2956.8303
3131,3043.2136
3138,2939.4473
3145,2937.7205
3151,3054.368
3159,2946.376
3166,2939.4473
3172,3056.2346
3179,2946.376
3186,2946.376
3192,3050.6406
3200,2944.6406
3207,3050.6406
3213,2946.376
3220,2942.9075
3227,3050.6406
3233,2942.9075
3240,3054.368
3248,2944.6406
3254,3054.368
3261,2946.376
3267,3045.0667
3274,2946.376
3281,3052.503
3289,2944.6406
3295,3054.368
3302,2942.9075
3308,3050.6406
3315,2944.6406
3322,3052.503
3329,2962.0852
3336,3056.2346
3343,2942.9075
3349,3069.368
3356,3048.7805
3362,2939.4473
3369,3052.503
3377,3050.6406
3383,2942.9075
3390,3054.368
3396,3050.6406
3403,3052.503
3410,2944.6406
3417,3054.368
3424,3054.368
3430,3050.6406
3437,2927.4006
3443,3134.7961
3450,3021.1482
3458,2948.1133
3464,3054.368
3471,3050.6406
3477,3052.503
3484,3050.6406
3491,3008.4236
3497,3046.9226
3505,3059.9756
3511,3050.6406
3518,3054.368
3524,3050.6406
3531,3048.7805
3537,3046.9226
3545,3048.7805
3551,3046.9226
3558,2934.2722
3565,3069.368
3571,3164.557
3578,2939.4473
3585,3056.2346
3592,3164.557
3598,3054.368
3605,2939.4473
3611,3164.557
3618,3054.368
3624,3052.503
3632,3050.6406
3638,3052.503
3645,3050.6406
3651,3052.503
3658,3043.2136
3664,3050.6406
3672,3075.0305
3678,3054.368
3685,3054.368
3691,3164.557
3698,3050.6406
3704,3052.503
3712,3054.368
3718,3050.6406
3725,3052.503
3731,3170.5771
3738,3048.7805
3744,3052.503
3751,3054.368
3758,3054.368
3765,3168.5676
3771,3063.7256
3778,3052.503
3784,3052.503
3790,3164.557
3798,3050.6406
3805,3052.503
3811,3052.503
3818,3050.6406
3824,3170.5771
3830,3054.368
3837,3054.368
3844,3164.557
3851,3050.6406
3857,3056.2346
3864,3050.6406
3870,3168.5676
3877,3050.6406
3884,3052.503
3891,3054.368
3897,3054.368
3904,3164.557
3910,3056.2346
3917,3050.6406
3923,3054.368
3931,3052.503
3937,3056.2346
3944,3050.6406
3950,3069.368
3957,3050.6406
3963,3052.503
3971,3050.6406
3977,3052.503
3984,3043.2136
3990,3050.6406
3997,3052.503
4003,3050.6406
4011,3052.503
4018,3050.6406
4024,3054.368
4031,3050.6406
4037,2946.376
4044,3050.6406
4050,3056.2346
4058,3052.503
4065,2944.6406
4071,3050.6406
4078,3054.368
4084,3046.9226
4091,2948.1133
4099,3050.6406
4105,2939.4473
4112,3056.2346
4118,3052.503
4125,2948.1133
4132,3054.368
4139,2944.6406
4146,3048.7805
4153,2946.376
4160,2939.4473
4166,3054.368
4173,2942.9075
4179,3052.503
4187,2944.6406
4194,2942.9075
4200,3052.503
4207,2948.1133
4214,2942.9075
4221,2949.8525
4228,2939.4473
4235,3048.7805
4242,2965.5989
4248,2948.1133
4255,2946.376
4262,2942.9075
4270,2942.9075
4277,2942.9075
4283,2946.376
4290,2942.9075
4297,2942.9075
